UUID,NAME,CLASS,SIZE,BLADE SPEED,CHIP REMOVAL RATE,FORCE
,8640 Alloy - 10 In,Alloy Steel,10,155,9.6,210
,8640 Alloy - 12 In,Alloy Steel,12,145,9.6,210
,8640 Alloy - 16 In,Alloy Steel,16,130,9.6,210
,8640 Alloy - 20 In,Alloy Steel,20,115,9.6,210
,2024 Aluminum - 2 In,Aluminum,2,350,20,175
,2024 Aluminum - 4 In,Aluminum,4,350,20,175
,2024 Aluminum - 6 In,Aluminum,6,350,20,175
,2024 Aluminum - 8 In,Aluminum,8,350,20,175
,2024 Aluminum - 10 In,Aluminum,10,350,20,175
,2024 Aluminum - 12 In,Aluminum,12,350,20,175
,2024 Aluminum - 16 In,Aluminum,16,350,20,175
,2024 Aluminum - 20 In,Aluminum,20,350,20,175
,5052 Aluminum - 2 In,Aluminum,2,350,20,175
,5052 Aluminum - 4 In,Aluminum,4,350,20,175
,5052 Aluminum - 6 In,Aluminum,6,350,20,175
,5052 Aluminum - 8 In,Aluminum,8,350,20,175
,5052 Aluminum - 10 In,Aluminum,10,350,20,175
,5052 Aluminum - 12 In,Aluminum,12,350,20,175
,5052 Aluminum - 16 In,Aluminum,16,350,20,175
,5052 Aluminum - 20 In,Aluminum,20,350,20,175
,6061 Aluminum - 2 In,Aluminum,2,350,20,175
,6061 Aluminum - 4 In,Aluminum,4,350,20,175
,6061 Aluminum - 6 In,Aluminum,6,350,20,175
,6061 Aluminum - 8 In,Aluminum,8,350,20,175
,6061 Aluminum - 10 In,Aluminum,10,350,20,175
,6061 Aluminum - 12 In,Aluminum,12,350,20,175
,6061 Aluminum - 16 In,Aluminum,16,350,20,175
,6061 Aluminum - 20 In,Aluminum,20,350,20,175
,7075 Aluminum - 2 In,Aluminum,2,350,20,175
,7075 Aluminum - 4 In,Aluminum,4,350,20,175
,7075 Aluminum - 6 In,Aluminum,6,350,20,175
,7075 Aluminum - 8 In,Aluminum,8,350,20,175
,7075 Aluminum - 10 In,Aluminum,10,350,20,175
,7075 Aluminum - 12 In,Aluminum,12,350,20,175
,7075 Aluminum - 16 In,Aluminum,16,350,20,175
,7075 Aluminum - 20 In,Aluminum,20,350,20,175
,301-303 SS - 2 In,Stainless Steel,2,90,4.6,480
,301-303 SS - 4 In,Stainless Steel,4,90,4.6,480
,301-303 SS - 6 In,Stainless Steel,6,90,4.6,480
,301-303 SS - 8 In,Stainless Steel,8,90,4.6,480
,301-303 SS - 10 In,Stainless Steel,10,90,4.6,480
,301-303 SS - 12 In,Stainless Steel,12,90,4.6,480
,301-303 SS - 16 In,Stainless Steel,16,90,4.6,480
,301-303 SS - 20 In,Stainless Steel,20,90,4.6,480
,304-304L SS - 2 In,Stainless Steel,2,90,4.6,480
,304-304L SS - 4 In,Stainless Steel,4,90,4.6,480
,304-304L SS - 6 In,Stainless Steel,6,90,4.6,480
,304-304L SS - 8 In,Stainless Steel,8,90,4.6,480
,304-304L SS - 10 In,Stainless Steel,10,90,4.6,480
,304-304L SS - 12 In,Stainless Steel,12,90,4.6,480
,304-304L SS - 16 In,Stainless Steel,16,90,4.6,480
,304-304L SS - 20 In,Stainless Steel,20,90,4.6,480
,316-316L SS - 2 In,Stainless Steel,2,90,4.6,480
,316-316L SS - 4 In,Stainless Steel,4,90,4.6,480
,316-316L SS - 6 In,Stainless Steel,6,90,4.6,480
,316-316L SS - 8 In,Stainless Steel,8,90,4.6,480
,316-316L SS - 10 In,Stainless Steel,10,90,4.6,480
,316-316L SS - 12 In,Stainless Steel,12,90,4.6,480
,316-316L SS - 16 In,Stainless Steel,16,90,4.6,480
,316-316L SS - 20 In,Stainless Steel,20,90,4.6,480
,321 SS - 2 In,Stainless Steel,2,90,4.6,480
,321 SS - 4 In,Stainless Steel,4,90,4.6,480
,321 SS - 6 In,Stainless Steel,6,90,4.6,480
,321 SS - 8 In,Stainless Steel,8,90,4.6,480
,321 SS - 10 In,Stainless Steel,10,90,4.6,480
,321 SS - 12 In,Stainless Steel,12,90,4.6,480
,321 SS - 16 In,Stainless Steel,16,90,4.6,480
,321 SS - 20 In,Stainless Steel,20,90,4.6,480
,410-420 SS - 2 In,Stainless Steel,2,101,5.4,375
,410-420 SS - 4 In,Stainless Steel,4,101,5.4,375
,410-420 SS - 6 In,Stainless Steel,6,101,5.4,375
,410-420 SS - 8 In,Stainless Steel,8,101,5.4,375
,410-420 SS - 10 In,Stainless Steel,10,101,5.4,375
,410-420 SS - 12 In,Stainless Steel,12,101,5.4,375
,410-420 SS - 16 In,Stainless Steel,16,101,5.4,375
,410-420 SS - 20 In,Stainless Steel,20,101,5.4,375
,440 SS - 2 In,Stainless Steel,2,90,4.6,480
,440 SS - 4 In,Stainless Steel,4,90,4.6,480
,440 SS - 6 In,Stainless Steel,6,90,4.6,480
,440 SS - 8 In,Stainless Steel,8,90,4.6,480
,440 SS - 10 In,Stainless Steel,10,90,4.6,480
,440 SS - 12 In,Stainless Steel,12,90,4.6,480
,440 SS - 16 In,Stainless Steel,16,90,4.6,480
,440 SS - 20 In,Stainless Steel,20,90,4.6,480
,17-4 SS - 2 In,Stainless Steel,2,71,2.8,780
,17-4 SS - 4 In,Stainless Steel,4,71,2.8,780
,17-4 SS - 6 In,Stainless Steel,6,71,2.8,780
,17-4 SS - 8 In,Stainless Steel,8,71,2.8,780
,17-4 SS - 10 In,Stainless Steel,10,71,2.8,780
,17-4 SS - 12 In,Stainless Steel,12,71,2.8,780
,17-4 SS - 16 In,Stainless Steel,16,71,2.8,780
,17-4 SS - 20 In,Stainless Steel,20,71,2.8,780
,15-5 SS - 2 In,Stainless Steel,2,71,2.8,780
,15-5 SS - 4 In,Stainless Steel,4,71,2.8,780
,15-5 SS - 6 In,Stainless Steel,6,71,2.8,780
,15-5 SS - 8 In,Stainless Steel,8,71,2.8,780
,15-5 SS - 10 In,Stainless Steel,10,71,2.8,780
,15-5 SS - 12 In,Stainless Steel,12,71,2.8,780
,15-5 SS - 16 In,Stainless Steel,16,71,2.8,780
,15-5 SS - 20 In,Stainless Steel,20,71,2.8,780
,Super Alloy A286 2 In,Super Alloy,2,66,2.4,800
,Super Alloy A286 4 In,Super Alloy,4,66,2.4,800
,Super Alloy A286 6 In,Super Alloy,6,66,2.4,800
,Super Alloy A286 8 In,Super Alloy,8,66,2.4,800
,Super Alloy A286 10 In,Super Alloy,10,66,2.4,800
,Super Alloy A286 12 In,Super Alloy,12,66,2.4,800
,Super Alloy A286 16 In,Super Alloy,16,66,2.4,800
,Super Alloy A286 20 In,Super Alloy,20,66,2.4,800
,Monel K500 2 In,Super Alloy,2,71,2.8,750
,Monel K500 4 In,Super Alloy,4,71,2.8,750
,Monel K500 6 In,Super Alloy,6,71,2.8,750
,Monel K500 8 In,Super Alloy,8,71,2.8,750
,Monel K500 10 In,Super Alloy,10,71,2.8,750
,Monel K500 12 In,Super Alloy,12,71,2.8,750
,Monel K500 16 In,Super Alloy,16,71,2.8,750
,Monel K500 20 In,Super Alloy,20,71,2.8,750
,Incoloy 330 2 In,Super Alloy,2,71,2.8,750
,Incoloy 330 4 In,Super Alloy,4,71,2.8,750
,Incoloy 330 6 In,Super Alloy,6,71,2.8,750
,Incoloy 330 8 In,Super Alloy,8,71,2.8,750
,Incoloy 330 10 In,Super Alloy,10,71,2.8,750
,Incoloy 330 12 In,Super Alloy,12,71,2.8,750
,Incoloy 330 16 In,Super Alloy,16,71,2.8,750
,Incoloy 330 20 In,Super Alloy,20,71,2.8,750
,Inconel 600 2 In,Super Alloy,2,71,2.8,750
,Inconel 600 4 In,Super Alloy,4,71,2.8,750
,Inconel 600 6 In,Super Alloy,6,71,2.8,750
,Inconel 600 8 In,Super Alloy,8,71,2.8,750
,Inconel 600 10 In,Super Alloy,10,71,2.8,750
,Inconel 600 12 In,Super Alloy,12,71,2.8,750
,Inconel 600 16 In,Super Alloy,16,71,2.8,750
,Inconel 600 20 In,Super Alloy,20,71,2.8,750
,Nitronic 60 2 In,Super Alloy,2,90,4.6,460
,Nitronic 60 4 In,Super Alloy,4,90,4.6,460
,Nitronic 60 6 In,Super Alloy,6,90,4.6,460
,Nitronic 60 8 In,Super Alloy,8,90,4.6,460
,Nitronic 60 10 In,Super Alloy,10,90,4.6,460
,Nitronic 60 12 In,Super Alloy,12,90,4.6,460
,Nitronic 60 16 In,Super Alloy,16,90,4.6,460
,Nitronic 60 20 In,Super Alloy,20,90,4.6,460
,RENE 88 2 In,Super Alloy,2,71,2.8,750
,RENE 88 4 In,Super Alloy,4,71,2.8,750
,RENE 88 6 In,Super Alloy,6,71,2.8,750
,RENE 88 8 In,Super Alloy,8,71,2.8,750
,RENE 88 10 In,Super Alloy,10,71,2.8,750
,RENE 88 12 In,Super Alloy,12,71,2.8,750
,RENE 88 16 In,Super Alloy,16,71,2.8,750
,RENE 88 20 In,Super Alloy,20,71,2.8,750
,Waspalloy 2 In,Super Alloy,2,71,2.8,750
,Waspalloy 4 In,Super Alloy,4,71,2.8,750
,Waspalloy 6 In,Super Alloy,6,71,2.8,750
,Waspalloy 8 In,Super Alloy,8,71,2.8,750
,Waspalloy 10 In,Super Alloy,10,71,2.8,750
,Waspalloy 12 In,Super Alloy,12,71,2.8,750
,Waspalloy 16 In,Super Alloy,16,71,2.8,750
,Waspalloy 20 In,Super Alloy,20,71,2.8,750
,Hastelloy 2 In,Super Alloy,2,66,2.4,800
,Hastelloy 4 In,Super Alloy,4,66,2.4,800
,Hastelloy 6 In,Super Alloy,6,66,2.4,800
,Hastelloy 8 In,Super Alloy,8,66,2.4,800
,Hastelloy 10 In,Super Alloy,10,66,2.4,800
,Hastelloy 12 In,Super Alloy,12,66,2.4,800
,Hastelloy 16 In,Super Alloy,16,66,2.4,800
,Hastelloy 20 In,Super Alloy,20,66,2.4,800
,Incoloy 825 2 In,Super Alloy,2,71,2.8,750
,Incoloy 825 4 In,Super Alloy,4,71,2.8,750
,Incoloy 825 6 In,Super Alloy,6,71,2.8,750
,Incoloy 825 8 In,Super Alloy,8,71,2.8,750
,Incoloy 825 10 In,Super Alloy,10,71,2.8,750
,Incoloy 825 12 In,Super Alloy,12,71,2.8,750
,Incoloy 825 16 In,Super Alloy,16,71,2.8,750
,Incoloy 825 20 In,Super Alloy,20,71,2.8,750
,Inconel 625 2 In,Super Alloy,2,66,2.4,800
,Inconel 625 4 In,Super Alloy,4,66,2.4,800
,Inconel 625 6 In,Super Alloy,6,66,2.4,800
,Inconel 625 8 In,Super Alloy,8,66,2.4,800
,Inconel 625 10 In,Super Alloy,10,66,2.4,800
,Inconel 625 12 In,Super Alloy,12,66,2.4,800
,Inconel 625 16 In,Super Alloy,16,66,2.4,800
,Inconel 625 20 In,Super Alloy,20,66,2.4,800
,Inconel 718 2 In,Super Alloy,2,71,2.8,750
,Inconel 718 4 In,Super Alloy,4,71,2.8,750
,Inconel 718 6 In,Super Alloy,6,71,2.8,750
,Inconel 718 8 In,Super Alloy,8,71,2.8,750
,Inconel 718 10 In,Super Alloy,10,71,2.8,750
,Inconel 718 12 In,Super Alloy,12,71,2.8,750
,Inconel 718 16 In,Super Alloy,16,71,2.8,750
,Inconel 718 20 In,Super Alloy,20,71,2.8,750
,Nitronic 90 2 In,Super Alloy,2,66,2.4,800
,Nitronic 90 4 In,Super Alloy,4,66,2.4,800
,Nitronic 90 6 In,Super Alloy,6,66,2.4,800
,Nitronic 90 8 In,Super Alloy,8,66,2.4,800
,Nitronic 90 10 In,Super Alloy,10,66,2.4,800
,Nitronic 90 12 In,Super Alloy,12,66,2.4,800
,Nitronic 90 16 In,Super Alloy,16,66,2.4,800
,Nitronic 90 20 In,Super Alloy,20,66,2.4,800
,Ni-Span 2 In,Titanium,2,66,2.4,800
,Ni-Span 4 In,Titanium,4,66,2.4,800
,Ni-Span 6 In,Titanium,6,66,2.4,800
,Ni-Span 8 In,Titanium,8,66,2.4,800
,Ni-Span 10 In,Titanium,10,66,2.4,800
,Ni-Span 12 In,Titanium,12,66,2.4,800
,Ni-Span 16 In,Titanium,16,66,2.4,800
,Ni-Span 20 In,Titanium,20,66,2.4,800
,Titanium 99% CP Ti 2 In,Titanium,2,81,3.8,550
,Titanium 99% CP Ti 4 In,Titanium,4,81,3.8,550
,Titanium 99% CP Ti 6 In,Titanium,6,81,3.8,550
,Titanium 99% CP Ti 8 In,Titanium,8,81,3.8,550
,Titanium 99% CP Ti 10 In,Titanium,10,81,3.8,550
,Titanium 99% CP Ti 12 In,Titanium,12,81,3.8,550
,Titanium 99% CP Ti 16 In,Titanium,16,81,3.8,550
,Titanium 99% CP Ti 20 In,Titanium,20,81,3.8,550
,Titanium Ti-6Al-4V 2 In,Titanium,2,81,3.8,550
,Titanium Ti-6Al-4V 4 In,Titanium,4,81,3.8,550
,Titanium Ti-6Al-4V 6 In,Titanium,6,81,3.8,550
,Titanium Ti-6Al-4V 8 In,Titanium,8,81,3.8,550
,Titanium Ti-6Al-4V 10 In,Titanium,10,81,3.8,550
,Titanium Ti-6Al-4V 12 In,Titanium,12,81,3.8,550
,Titanium Ti-6Al-4V 16 In,Titanium,16,81,3.8,550
,Titanium Ti-6Al-4V 20 In,Titanium,20,81,3.8,550
,CDA 715 (Copper Nickel) 2 In,Copper Brass Bronze,2,156,9.4,390
,CDA 715 (Copper Nickel) 4 In,Copper Brass Bronze,4,156,9.4,390
,CDA 715 (Copper Nickel) 6 In,Copper Brass Bronze,6,156,9.4,390
,CDA 715 (Copper Nickel) 8 In,Copper Brass Bronze,8,156,9.4,390
,CDA 715 (Copper Nickel) 10 In,Copper Brass Bronze,10,156,9.4,390
,CDA 715 (Copper Nickel) 12 In,Copper Brass Bronze,12,156,9.4,390
,CDA 715 (Copper Nickel) 16 In,Copper Brass Bronze,16,156,9.4,390
,CDA 715 (Copper Nickel) 20 In,Copper Brass Bronze,20,156,9.4,390
,CDA 464 (Naval Brass) 2 In,Copper Brass Bronze,2,156,9.4,390
,CDA 464 (Naval Brass) 4 In,Copper Brass Bronze,4,156,9.4,390
,CDA 464 (Naval Brass) 6 In,Copper Brass Bronze,6,156,9.4,390
,CDA 464 (Naval Brass) 8 In,Copper Brass Bronze,8,156,9.4,390
,CDA 464 (Naval Brass) 10 In,Copper Brass Bronze,10,156,9.4,390
,CDA 464 (Naval Brass) 12 In,Copper Brass Bronze,12,156,9.4,390
,CDA 464 (Naval Brass) 16 In,Copper Brass Bronze,16,156,9.4,390
,CDA 464 (Naval Brass) 20 In,Copper Brass Bronze,20,156,9.4,390
,CDA 230 (Red Brass) 2 In,Copper Brass Bronze,2,198,12.8,300
,CDA 230 (Red Brass) 4 In,Copper Brass Bronze,4,198,12.8,300
,CDA 230 (Red Brass) 6 In,Copper Brass Bronze,6,198,12.8,300
,CDA 230 (Red Brass) 8 In,Copper Brass Bronze,8,198,12.8,300
,CDA 230 (Red Brass) 10 In,Copper Brass Bronze,10,198,12.8,300
,CDA 230 (Red Brass) 12 In,Copper Brass Bronze,12,198,12.8,300
,CDA 230 (Red Brass) 16 In,Copper Brass Bronze,16,198,12.8,300
,CDA 230 (Red Brass) 20 In,Copper Brass Bronze,20,198,12.8,300
,CDA 260 (Cartridge Brass) 2 In,Copper Brass Bronze,2,198,12.8,300
,CDA 260 (Cartridge Brass) 4 In,Copper Brass Bronze,4,198,12.8,300
,CDA 260 (Cartridge Brass) 6 In,Copper Brass Bronze,6,198,12.8,300
,CDA 260 (Cartridge Brass) 8 In,Copper Brass Bronze,8,198,12.8,300
,CDA 260 (Cartridge Brass) 10 In,Copper Brass Bronze,10,198,12.8,300
,CDA 260 (Cartridge Brass) 12 In,Copper Brass Bronze,12,198,12.8,300
,CDA 260 (Cartridge Brass) 16 In,Copper Brass Bronze,16,198,12.8,300
,CDA 260 (Cartridge Brass) 20 In,Copper Brass Bronze,20,198,12.8,300
,CDA 865 (Aluminum Bronze) 2 In,Copper Brass Bronze,2,101,5.4,680
,CDA 865 (Aluminum Bronze) 4 In,Copper Brass Bronze,4,101,5.4,680
,CDA 865 (Aluminum Bronze) 6 In,Copper Brass Bronze,6,101,5.4,680
,CDA 865 (Aluminum Bronze) 8 In,Copper Brass Bronze,8,101,5.4,680
,CDA 865 (Aluminum Bronze) 10 In,Copper Brass Bronze,10,101,5.4,680
,CDA 865 (Aluminum Bronze) 12 In,Copper Brass Bronze,12,101,5.4,680
,CDA 865 (Aluminum Bronze) 16 In,Copper Brass Bronze,16,101,5.4,680
,CDA 865 (Aluminum Bronze) 20 In,Copper Brass Bronze,20,101,5.4,680
,CDA 863 (Manganese Bronze) 2 In,Copper Brass Bronze,2,101,5.4,680
,CDA 863 (Manganese Bronze) 4 In,Copper Brass Bronze,4,101,5.4,680
,CDA 863 (Manganese Bronze) 6 In,Copper Brass Bronze,6,101,5.4,680
,CDA 863 (Manganese Bronze) 8 In,Copper Brass Bronze,8,101,5.4,680
,CDA 863 (Manganese Bronze) 10 In,Copper Brass Bronze,10,101,5.4,680
,CDA 863 (Manganese Bronze) 12 In,Copper Brass Bronze,12,101,5.4,680
,CDA 863 (Manganese Bronze) 16 In,Copper Brass Bronze,16,101,5.4,680
,CDA 863 (Manganese Bronze) 20 In,Copper Brass Bronze,20,101,5.4,680
,AMPCO 18 2 In,Copper Brass Bronze,2,198,12.8,480
,AMPCO 18 4 In,Copper Brass Bronze,4,198,12.8,480
,AMPCO 18 6 In,Copper Brass Bronze,6,198,12.8,480
,AMPCO 18 8 In,Copper Brass Bronze,8,198,12.8,480
,AMPCO 18 10 In,Copper Brass Bronze,10,198,12.8,480
,AMPCO 18 12 In,Copper Brass Bronze,12,198,12.8,480
,AMPCO 18 16 In,Copper Brass Bronze,16,198,12.8,480
,AMPCO 18 20 In,Copper Brass Bronze,20,198,12.8,480
,AMPCO 21 2 In,Copper Brass Bronze,2,156,9.4,730
,AMPCO 21 4 In,Copper Brass Bronze,4,156,9.4,730
,AMPCO 21 6 In,Copper Brass Bronze,6,156,9.4,730
,AMPCO 21 8 In,Copper Brass Bronze,8,156,9.4,730
,AMPCO 21 10 In,Copper Brass Bronze,10,156,9.4,730
,AMPCO 21 12 In,Copper Brass Bronze,12,156,9.4,730
,AMPCO 21 16 In,Copper Brass Bronze,16,156,9.4,730
,AMPCO 21 20 In,Copper Brass Bronze,20,156,9.4,730
,AMPCO 25 2 In,Copper Brass Bronze,2,156,9.4,730
,AMPCO 25 4 In,Copper Brass Bronze,4,156,9.4,730
,AMPCO 25 6 In,Copper Brass Bronze,6,156,9.4,730
,AMPCO 25 8 In,Copper Brass Bronze,8,156,9.4,730
,AMPCO 25 10 In,Copper Brass Bronze,10,156,9.4,730
,AMPCO 25 12 In,Copper Brass Bronze,12,156,9.4,730
,AMPCO 25 16 In,Copper Brass Bronze,16,156,9.4,730
,AMPCO 25 20 In,Copper Brass Bronze,20,156,9.4,730
,CDA 20 (Commerial Bronze) 2 In,Copper Brass Bronze,2,198,12.8,480
,CDA 20 (Commerial Bronze) 4 In,Copper Brass Bronze,4,198,12.8,480
,CDA 20 (Commerial Bronze) 6 In,Copper Brass Bronze,6,198,12.8,480
,CDA 20 (Commerial Bronze) 8 In,Copper Brass Bronze,8,198,12.8,480
,CDA 20 (Commerial Bronze) 10 In,Copper Brass Bronze,10,198,12.8,480
,CDA 20 (Commerial Bronze) 12 In,Copper Brass Bronze,12,198,12.8,480
,CDA 20 (Commerial Bronze) 16 In,Copper Brass Bronze,16,198,12.8,480
,CDA 20 (Commerial Bronze) 20 In,Copper Brass Bronze,20,198,12.8,480
,CDA 932 (Pb Tin Bronze) 2 In,Copper Brass Bronze,2,198,12.8,480
,CDA 932 (Pb Tin Bronze) 4 In,Copper Brass Bronze,4,198,12.8,480
,CDA 932 (Pb Tin Bronze) 6 In,Copper Brass Bronze,6,198,12.8,480
,CDA 932 (Pb Tin Bronze) 8 In,Copper Brass Bronze,8,198,12.8,480
,CDA 932 (Pb Tin Bronze) 10 In,Copper Brass Bronze,10,198,12.8,480
,CDA 932 (Pb Tin Bronze) 12 In,Copper Brass Bronze,12,198,12.8,480
,CDA 932 (Pb Tin Bronze) 16 In,Copper Brass Bronze,16,198,12.8,480
,CDA 932 (Pb Tin Bronze) 20 In,Copper Brass Bronze,20,198,12.8,480
,L6 - 2 In,Tool Steel,2,90,4.6,700
,L6 - 4 In,Tool Steel,4,90,4.6,700
,L6 - 6 In,Tool Steel,6,90,4.6,700
,L6 - 8 In,Tool Steel,8,90,4.6,700
,L6 - 10 In,Tool Steel,10,90,4.6,700
,L6 - 12 In,Tool Steel,12,90,4.6,700
,L6 - 16 In,Tool Steel,16,90,4.6,700
,L6 - 20 In,Tool Steel,20,90,4.6,700
,W1 - 2 In,Tool Steel,2,101,5.4,550
,W1 - 4 In,Tool Steel,4,101,5.4,550
,W1 - 6 In,Tool Steel,6,101,5.4,550
,W1 - 8 In,Tool Steel,8,101,5.4,550
,W1 - 10 In,Tool Steel,10,101,5.4,550
,W1 - 12 In,Tool Steel,12,101,5.4,550
,W1 - 16 In,Tool Steel,16,101,5.4,550
,W1 - 20 In,Tool Steel,20,101,5.4,550
